28/09/2022 - 20:40:39, Cliente, send, 116 bytes
28/09/2022 - 20:40:39, Servidor, receive, 116 bytes
28/09/2022 - 20:40:40, Cliente, send, 116 bytes
28/09/2022 - 20:40:40, Servidor, receive, 116 bytes
28/09/2022 - 20:40:42, Cliente, send, 116 bytes
28/09/2022 - 20:40:42, Servidor, receive, 116 bytes
28/09/2022 - 20:40:42, Cliente, send, 116 bytes
28/09/2022 - 20:40:42, Servidor, receive, 116 bytes
28/09/2022 - 20:40:43, Cliente, send, 116 bytes
28/09/2022 - 20:40:43, Servidor, receive, 116 bytes
28/09/2022 - 20:40:46, Cliente, send, 116 bytes
28/09/2022 - 20:40:46, Servidor, receive, 116 bytes
28/09/2022 - 20:40:47, Cliente, send, 116 bytes
28/09/2022 - 20:40:47, Servidor, receive, 116 bytes
28/09/2022 - 20:40:48, Cliente, send, 116 bytes
28/09/2022 - 20:40:48, Servidor, receive, 116 bytes
28/09/2022 - 20:40:51, Cliente, send, 116 bytes
28/09/2022 - 20:40:51, Servidor, receive, 116 bytes
28/09/2022 - 20:40:51, Cliente, send, 116 bytes
28/09/2022 - 20:40:51, Servidor, receive, 116 bytes
28/09/2022 - 20:40:53, Cliente, send, 116 bytes
28/09/2022 - 20:40:53, Servidor, receive, 116 bytes
28/09/2022 - 20:40:54, Cliente, send, 116 bytes
28/09/2022 - 20:40:54, Servidor, receive, 116 bytes
28/09/2022 - 20:40:57, Cliente, send, 116 bytes
28/09/2022 - 20:40:57, Servidor, receive, 116 bytes
28/09/2022 - 20:41:00, Cliente, send, 116 bytes
28/09/2022 - 20:41:00, Servidor, receive, 116 bytes
28/09/2022 - 20:41:03, Cliente, send, 116 bytes
28/09/2022 - 20:41:04, Servidor, receive, 116 bytes
28/09/2022 - 20:41:06, Cliente, send, 116 bytes
28/09/2022 - 20:41:06, Servidor, receive, 116 bytes
28/09/2022 - 20:41:08, Cliente, send, 116 bytes
28/09/2022 - 20:41:08, Servidor, receive, 116 bytes
28/09/2022 - 20:41:11, Cliente, send, 116 bytes
28/09/2022 - 20:41:11, Servidor, receive, 116 bytes
28/09/2022 - 20:41:14, Cliente, send, 116 bytes
28/09/2022 - 20:41:14, Servidor, receive, 116 bytes
28/09/2022 - 20:41:18, Cliente, send, 116 bytes
28/09/2022 - 20:41:18, Servidor, receive, 116 bytes
28/09/2022 - 20:41:21, Cliente, send, 116 bytes
28/09/2022 - 20:41:21, Servidor, receive, 116 bytes
28/09/2022 - 20:41:24, Cliente, send, 116 bytes
28/09/2022 - 20:41:24, Servidor, receive, 116 bytes
28/09/2022 - 20:41:27, Cliente, send, 116 bytes
28/09/2022 - 20:41:27, Servidor, receive, 116 bytes
28/09/2022 - 20:41:28, Cliente, send, 116 bytes
28/09/2022 - 20:41:28, Servidor, receive, 116 bytes
28/09/2022 - 20:41:31, Cliente, send, 116 bytes
28/09/2022 - 20:41:31, Servidor, receive, 116 bytes
28/09/2022 - 20:41:34, Cliente, send, 116 bytes
28/09/2022 - 20:41:34, Servidor, receive, 116 bytes
28/09/2022 - 20:41:38, Cliente, send, 116 bytes
28/09/2022 - 20:41:38, Servidor, receive, 116 bytes
28/09/2022 - 20:41:42, Cliente, send, 116 bytes
28/09/2022 - 20:41:42, Servidor, receive, 116 bytes
28/09/2022 - 20:41:43, Cliente, send, 116 bytes
28/09/2022 - 20:41:43, Servidor, receive, 116 bytes
28/09/2022 - 20:41:44, Cliente, send, 116 bytes
28/09/2022 - 20:41:44, Servidor, receive, 116 bytes
28/09/2022 - 20:41:46, Cliente, send, 116 bytes
28/09/2022 - 20:41:46, Servidor, receive, 116 bytes
28/09/2022 - 20:41:47, Cliente, send, 116 bytes
28/09/2022 - 20:41:47, Servidor, receive, 116 bytes
28/09/2022 - 20:41:51, Cliente, send, 116 bytes
28/09/2022 - 20:41:51, Servidor, receive, 116 bytes
28/09/2022 - 20:41:52, Cliente, send, 116 bytes
28/09/2022 - 20:41:52, Servidor, receive, 116 bytes
28/09/2022 - 20:41:55, Cliente, send, 116 bytes
28/09/2022 - 20:41:55, Servidor, receive, 116 bytes
28/09/2022 - 20:41:56, Cliente, send, 116 bytes
28/09/2022 - 20:41:56, Servidor, receive, 116 bytes
28/09/2022 - 20:41:58, Cliente, send, 116 bytes
28/09/2022 - 20:41:58, Servidor, receive, 116 bytes
28/09/2022 - 20:41:58, Cliente, send, 116 bytes
28/09/2022 - 20:41:58, Servidor, receive, 116 bytes
28/09/2022 - 20:42:00, Cliente, send, 116 bytes
28/09/2022 - 20:42:00, Servidor, receive, 116 bytes
28/09/2022 - 20:42:02, Cliente, send, 116 bytes
28/09/2022 - 20:42:02, Servidor, receive, 116 bytes
28/09/2022 - 20:42:05, Cliente, send, 116 bytes
28/09/2022 - 20:42:05, Servidor, receive, 116 bytes
28/09/2022 - 20:42:09, Cliente, send, 116 bytes
28/09/2022 - 20:42:09, Servidor, receive, 116 bytes
28/09/2022 - 20:42:10, Cliente, send, 116 bytes
28/09/2022 - 20:42:10, Servidor, receive, 116 bytes
28/09/2022 - 20:42:11, Cliente, send, 116 bytes
28/09/2022 - 20:42:11, Servidor, receive, 116 bytes
28/09/2022 - 20:42:14, Cliente, send, 116 bytes
28/09/2022 - 20:42:14, Servidor, receive, 116 bytes
28/09/2022 - 20:42:17, Cliente, send, 116 bytes
28/09/2022 - 20:42:17, Servidor, receive, 116 bytes
28/09/2022 - 20:42:19, Cliente, send, 116 bytes
28/09/2022 - 20:42:19, Servidor, receive, 116 bytes
28/09/2022 - 20:42:19, Cliente, send, 116 bytes
28/09/2022 - 20:42:20, Servidor, receive, 116 bytes
28/09/2022 - 20:42:21, Cliente, send, 116 bytes
28/09/2022 - 20:42:21, Servidor, receive, 116 bytes
28/09/2022 - 20:42:21, Cliente, send, 116 bytes
28/09/2022 - 20:42:21, Servidor, receive, 116 bytes
28/09/2022 - 20:42:24, Cliente, send, 116 bytes
28/09/2022 - 20:42:24, Servidor, receive, 116 bytes
28/09/2022 - 20:42:25, Cliente, send, 116 bytes
28/09/2022 - 20:42:25, Servidor, receive, 116 bytes
28/09/2022 - 20:42:28, Cliente, send, 116 bytes
28/09/2022 - 20:42:28, Servidor, receive, 116 bytes
28/09/2022 - 20:42:28, Cliente, send, 116 bytes
28/09/2022 - 20:42:28, Servidor, receive, 116 bytes
28/09/2022 - 20:42:28, Cliente, send, 116 bytes
28/09/2022 - 20:42:29, Servidor, receive, 116 bytes
28/09/2022 - 20:42:29, Cliente, send, 116 bytes
28/09/2022 - 20:42:29, Servidor, receive, 116 bytes
28/09/2022 - 20:42:30, Cliente, send, 116 bytes
28/09/2022 - 20:42:30, Servidor, receive, 116 bytes
28/09/2022 - 20:42:31, Cliente, send, 116 bytes
28/09/2022 - 20:42:31, Servidor, receive, 116 bytes
28/09/2022 - 20:42:33, Cliente, send, 116 bytes
28/09/2022 - 20:42:33, Servidor, receive, 116 bytes
28/09/2022 - 20:42:35, Cliente, send, 116 bytes
28/09/2022 - 20:42:35, Servidor, receive, 116 bytes
28/09/2022 - 20:42:36, Cliente, send, 116 bytes
28/09/2022 - 20:42:36, Servidor, receive, 116 bytes
28/09/2022 - 20:42:39, Cliente, send, 116 bytes
28/09/2022 - 20:42:39, Servidor, receive, 116 bytes
28/09/2022 - 20:42:39, Cliente, send, 116 bytes
28/09/2022 - 20:42:39, Servidor, receive, 116 bytes
28/09/2022 - 20:42:43, Cliente, send, 116 bytes
28/09/2022 - 20:42:43, Servidor, receive, 116 bytes
28/09/2022 - 20:42:46, Cliente, send, 116 bytes
28/09/2022 - 20:42:46, Servidor, receive, 116 bytes
28/09/2022 - 20:42:50, Cliente, send, 116 bytes
28/09/2022 - 20:42:50, Servidor, receive, 116 bytes
28/09/2022 - 20:42:51, Cliente, send, 116 bytes
28/09/2022 - 20:42:51, Servidor, receive, 116 bytes
28/09/2022 - 20:42:54, Cliente, send, 116 bytes
28/09/2022 - 20:42:54, Servidor, receive, 116 bytes
28/09/2022 - 20:42:58, Cliente, send, 116 bytes
28/09/2022 - 20:42:58, Servidor, receive, 116 bytes
28/09/2022 - 20:42:59, Cliente, send, 116 bytes
28/09/2022 - 20:42:59, Servidor, receive, 116 bytes
28/09/2022 - 20:43:02, Cliente, send, 116 bytes
28/09/2022 - 20:43:02, Servidor, receive, 116 bytes
28/09/2022 - 20:43:03, Cliente, send, 116 bytes
28/09/2022 - 20:43:03, Servidor, receive, 116 bytes
28/09/2022 - 20:43:06, Cliente, send, 116 bytes
28/09/2022 - 20:43:06, Servidor, receive, 116 bytes
28/09/2022 - 20:43:10, Cliente, send, 116 bytes
28/09/2022 - 20:43:10, Servidor, receive, 116 bytes
28/09/2022 - 20:43:13, Cliente, send, 116 bytes
28/09/2022 - 20:43:13, Servidor, receive, 116 bytes
28/09/2022 - 20:43:13, Cliente, send, 116 bytes
28/09/2022 - 20:43:13, Servidor, receive, 116 bytes
28/09/2022 - 20:43:16, Cliente, send, 116 bytes
28/09/2022 - 20:43:16, Servidor, receive, 116 bytes
28/09/2022 - 20:43:17, Cliente, send, 116 bytes
28/09/2022 - 20:43:17, Servidor, receive, 116 bytes
28/09/2022 - 20:43:17, Cliente, send, 116 bytes
28/09/2022 - 20:43:17, Servidor, receive, 116 bytes
28/09/2022 - 20:43:19, Cliente, send, 116 bytes
28/09/2022 - 20:43:19, Servidor, receive, 116 bytes
28/09/2022 - 20:43:20, Cliente, send, 116 bytes
28/09/2022 - 20:43:20, Servidor, receive, 116 bytes
28/09/2022 - 20:43:22, Cliente, send, 116 bytes
28/09/2022 - 20:43:22, Servidor, receive, 116 bytes
28/09/2022 - 20:43:24, Cliente, send, 116 bytes
28/09/2022 - 20:43:24, Servidor, receive, 116 bytes
28/09/2022 - 20:43:26, Cliente, send, 116 bytes
28/09/2022 - 20:43:26, Servidor, receive, 116 bytes
28/09/2022 - 20:43:29, Cliente, send, 116 bytes
28/09/2022 - 20:43:29, Servidor, receive, 116 bytes
28/09/2022 - 20:43:32, Cliente, send, 116 bytes
28/09/2022 - 20:43:32, Servidor, receive, 116 bytes
28/09/2022 - 20:43:36, Cliente, send, 116 bytes
28/09/2022 - 20:43:36, Servidor, receive, 116 bytes
28/09/2022 - 20:43:40, Cliente, send, 116 bytes
28/09/2022 - 20:43:40, Servidor, receive, 116 bytes
28/09/2022 - 20:43:44, Cliente, send, 116 bytes
28/09/2022 - 20:43:44, Servidor, receive, 116 bytes
28/09/2022 - 20:43:44, Cliente, send, 52 bytes
28/09/2022 - 20:43:44, Servidor, receive, 52 bytes
